iter	Passed	Remaining
0	7	21934
1	14	21455
2	20	20898
3	27	20566
4	33	20306
5	40	20193
6	46	20085
7	53	19890
8	60	20055
9	68	20339
10	75	20476
11	82	20470
12	89	20505
13	96	20628
14	104	20716
15	111	20764
16	118	20747
17	125	20755
18	131	20674
19	138	20660
20	145	20698
21	153	20741
22	159	20674
23	166	20610
24	173	20592
25	180	20593
26	186	20544
27	193	20569
28	200	20543
29	207	20529
30	214	20527
31	221	20498
32	228	20501
33	235	20534
34	242	20531
35	249	20556
36	256	20567
37	264	20618
38	271	20616
39	278	20635
40	285	20612
41	292	20585
42	298	20560
43	305	20514
44	312	20498
45	318	20464
46	325	20423
47	332	20449
48	339	20443
49	346	20428
50	353	20442
51	360	20456
52	368	20479
53	375	20475
54	382	20470
55	389	20487
56	397	20505
57	404	20525
58	411	20510
59	418	20511
60	424	20467
61	431	20445
62	438	20419
63	445	20429
64	451	20408
65	459	20414
66	466	20423
67	472	20391
68	479	20351
69	486	20352
70	493	20352
71	500	20368
72	508	20378
73	515	20374
74	521	20356
75	528	20326
76	535	20311
77	541	20300
78	549	20329
79	556	20312
80	563	20307
81	570	20296
82	577	20279
83	583	20266
84	590	20258
85	597	20251
86	605	20258
87	612	20263
88	619	20253
89	625	20237
90	632	20228
91	639	20229
92	646	20206
93	653	20206
94	660	20205
95	668	20213
96	675	20219
97	682	20224
98	690	20233
99	697	20237
100	704	20228
101	711	20222
102	718	20216
103	726	20218
104	733	20227
105	740	20224
106	747	20211
107	754	20207
108	761	20201
109	768	20199
110	775	20186
111	782	20176
112	789	20174
113	796	20174
114	804	20175
115	811	20168
116	818	20157
117	824	20147
118	832	20152
119	839	20150
120	847	20167
121	854	20161
122	861	20155
123	869	20165
124	876	20155
125	882	20140
126	890	20135
127	897	20129
128	904	20128
129	911	20116
130	918	20113
131	924	20096
132	932	20093
133	939	20083
134	946	20083
135	953	20087
136	960	20074
137	968	20081
138	975	20073
139	982	20072
140	990	20083
141	998	20090
142	1004	20075
143	1011	20063
144	1018	20050
145	1025	20041
146	1032	20040
147	1039	20028
148	1046	20015
149	1053	20020
150	1061	20035
151	1068	20026
152	1075	20020
153	1083	20014
154	1090	20009
155	1098	20024
156	1105	20020
157	1112	20014
158	1120	20016
159	1127	20014
160	1134	20008
161	1141	19995
162	1147	19973
163	1154	19966
164	1161	19962
165	1169	19961
166	1176	19954
167	1183	19947
